domain	name	tld	package	category	subcategory	type	noun	nounPlural	verb	verbGerund	adjective	description	tagline	status	priority	tier
# Agents - Named AI Workers (~85 domains)
ada.do	ada	doada.do	agents	engineering	agent	Ada	-	code	coding	adaptive	AI coding assistant inspired by Ada Lovelace	Code with Ada	planned	P2	free
amit.do	amit	doamit.do	agents	engineering	agent	Amit	-	architect	architecting	analytical	Systems architecture specialist	-	planned	P3	free
amy.do	amy	doamy.do	agents	support	agent	Amy	-	assist	assisting	helpful	Customer support specialist	-	planned	P3	free
andrew.do	andrew	doandrew.do	agents	engineering	agent	Andrew	-	develop	developing	diligent	Full-stack developer agent	-	planned	P3	free
ann.do	ann	doann.do	agents	analytics	agent	Ann	-	analyze	analyzing	analytical	Data analytics specialist	-	planned	P3	free
archie.do	archie	doarchie.do	agents	devops	agent	Archie	-	archive	archiving	organized	Archive and backup specialist	-	planned	P3	free
ari.do	ari	doari.do	agents	research	agent	Ari	-	research	researching	curious	Research and discovery agent	-	planned	P3	free
arya.do	arya	doarya.do	agents	security	agent	Arya	-	secure	securing	vigilant	Security and compliance agent	-	planned	P3	free
bailey.do	bailey	dobailey.do	agents	operations	agent	Bailey	-	operate	operating	reliable	Operations management agent	-	planned	P3	free
beau.do	beau	dobeau.do	agents	design	agent	Beau	-	design	designing	aesthetic	UI/UX design specialist	-	planned	P3	free
blake.do	blake	doblake.do	agents	engineering	agent	Blake	-	build	building	creative	Creative engineering agent	-	planned	P3	free
bob.do	bob	dobob.do	agents	engineering	agent	Bob	-	build	building	practical	Pragmatic builder agent	-	planned	P3	free
bryant.do	bryant	dobryant.do	agents	sales	agent	Bryant	-	pitch	pitching	persuasive	Sales pitch specialist	-	planned	P3	free
cara.do	cara	docara.do	agents	customer	agent	Cara	-	care	caring	empathetic	Customer care specialist	-	planned	P3	free
casey.do	casey	docasey.do	agents	engineering	agent	Casey	-	code	coding	versatile	Versatile coding agent	-	planned	P3	free
clara.do	clara	doclara.do	agents	documentation	agent	Clara	-	clarify	clarifying	clear	Documentation clarity specialist	-	planned	P3	free
cody.do	cody	docody.do	agents	engineering	agent	Cody	-	code	coding	focused	Focused coding agent	-	planned	P3	free
cole.do	cole	docole.do	agents	data	agent	Cole	-	collect	collecting	thorough	Data collection specialist	-	planned	P3	free
dana.do	dana	dodana.do	agents	analytics	agent	Dana	-	analyze	analyzing	data-driven	Data analysis agent	-	planned	P3	free
dara.do	dara	dodara.do	agents	data	agent	Dara	-	derive	deriving	insightful	Data insights specialist	-	planned	P3	free
deb.do	deb	dodeb.do	agents	debugging	agent	Deb	-	debug	debugging	meticulous	Debugging specialist	-	planned	P3	free
devin.do	devin	dodevin.do	agents	engineering	agent	Devin	-	develop	developing	autonomous	Autonomous development agent	-	planned	P3	free
devon.do	devon	dodevon.do	agents	devops	agent	Devon	-	deploy	deploying	reliable	DevOps specialist	-	planned	P3	free
drew.do	drew	dodrew.do	agents	design	agent	Drew	-	draw	drawing	creative	Visual design agent	-	planned	P3	free
eli.do	eli	doeli.do	agents	engineering	agent	Eli	-	engineer	engineering	elegant	Elegant solutions architect	-	planned	P3	free
ella.do	ella	doella.do	agents	writing	agent	Ella	-	write	writing	eloquent	Technical writing specialist	-	planned	P3	free
emma.do	emma	doemma.do	agents	email	agent	Emma	-	email	emailing	professional	Email communication specialist	-	planned	P3	free
